"","observed_on","quality_grade","place_admin1_name","taxon_species_name","taxon_kingdom_name","taxon_phylum_name","taxon_class_name","taxon_order_name","taxon_family_name","taxon_genus_name","scientific_name","geometry"
"34",2014-04-24,"research","Tacuarembó","Heteroxolmis dominicana","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Heteroxolmis","Heteroxolmis dominicana",c(613540.595405957, 6485890.15306805)
"35",2014-04-27,"research","Maldonado","Haematopus palliatus","Animalia","Chordata","Aves","Charadriiformes","Haematopodidae","Haematopus","Haematopus palliatus",c(687697.433263864, 6129750.76966866)
"36",2012-12-23,"research","Rocha","Rhinella arenarum","Animalia","Chordata","Amphibia","Anura","Bufonidae","Rhinella","Rhinella arenarum",c(819327.279844973, 6228120.8349358)
"37",2012-12-23,"research","Rocha","Rhinella arenarum","Animalia","Chordata","Amphibia","Anura","Bufonidae","Rhinella","Rhinella arenarum",c(795766.587331583, 6188645.01698342)
"38",2013-11-10,"research","Maldonado","Otaria byronia","Animalia","Chordata","Mammalia","Carnivora","Otariidae","Otaria","Otaria byronia",c(687204.222037058, 6129005.54922873)
"39",2012-12-23,"research","Rocha","Arctocephalus australis","Animalia","Chordata","Mammalia","Carnivora","Otariidae","Arctocephalus","Arctocephalus australis",c(796137.688537244, 6188110.12449178)
"40",2013-03-03,"research","Colonia","Elaenia parvirostris","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Elaenia","Elaenia parvirostris",c(466185.211023878, 6229547.91658599)
"41",2013-03-02,"research","Colonia","Embernagra platensis","Animalia","Chordata","Aves","Passeriformes","Thraupidae","Embernagra","Embernagra platensis",c(465440.732368875, 6225257.74157554)
"42",2013-03-03,"research","Colonia","Colaptes melanochloros","Animalia","Chordata","Aves","Piciformes","Picidae","Colaptes","Colaptes melanochloros",c(461623.143209991, 6229656.64848349)
"43",2013-03-02,"research","Colonia","Dasypus novemcinctus","Animalia","Chordata","Mammalia","Cingulata","Dasypodidae","Dasypus","Dasypus novemcinctus",c(467142.815613662, 6230518.51849123)
"44",2011-01-10,"research","Rocha","Cerdocyon thous","Animalia","Chordata","Mammalia","Carnivora","Canidae","Cerdocyon","Cerdocyon thous",c(799280.44010345, 6212830.92626876)
"45",2011-01-10,"research","Rocha","Anthus lutescens","Animalia","Chordata","Aves","Passeriformes","Motacillidae","Anthus","Anthus lutescens",c(796315.211975876, 6188476.08877922)
"46",2011-01-12,"research","Rocha","Tyrannus savana","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Tyrannus","Tyrannus savana",c(787202.377913382, 6206691.6929044)
"47",2011-01-12,"research","Rocha","Nannopterum brasilianum","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Nannopterum","Nannopterum brasilianum",c(784817.08079267, 6202079.62792218)
"48",2011-01-12,"research","Rocha","Zonotrichia capensis","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Zonotrichia","Zonotrichia capensis",c(785075.791178054, 6202069.74853554)
"49",2011-01-12,"research","Rocha","Pluvialis dominica","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Pluvialis","Pluvialis dominica",c(785031.185753738, 6202033.68534858)
"50",2011-01-13,"research","Rocha","Cavia aperea","Animalia","Chordata","Mammalia","Rodentia","Caviidae","Cavia","Cavia aperea",c(822592.526282336, 6243342.76542488)
"51",2015-01-26,"research","Paysandú","Cathartes aura","Animalia","Chordata","Aves","Cathartiformes","Cathartidae","Cathartes","Cathartes aura",c(411243.578879238, 6498762.99668332)
"52",2015-01-30,"research","Rocha","Colaptes melanochloros","Animalia","Chordata","Aves","Piciformes","Picidae","Colaptes","Colaptes melanochloros",c(818868.412097206, 6235992.16884814)
"53",2011-12-03,"research","Cerro Largo","Pyrocephalus rubinus","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Pyrocephalus","Pyrocephalus rubinus",c(850164.533253692, 6379194.75673852)
"54",2015-05-23,"research","Montevideo","Nycticorax nycticorax","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Nycticorax","Nycticorax nycticorax",c(585176.639115476, 6137959.84390921)
"55",2015-02-01,"research","Rocha","Haematopus palliatus","Animalia","Chordata","Aves","Charadriiformes","Haematopodidae","Haematopus","Haematopus palliatus",c(759627.777791888, 6160267.80924861)
"56",2015-01-29,"research","Cerro Largo","Rhea americana","Animalia","Chordata","Aves","Rheiformes","Rheidae","Rhea","Rhea americana",c(758953.687016275, 6415015.54415416)
"57",2015-01-28,"research","Cerro Largo","Pyrocephalus rubinus","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Pyrocephalus","Pyrocephalus rubinus",c(765031.221921555, 6415431.36536795)
"58",2015-01-27,"research","Tacuarembó","Xolmis irupero","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Xolmis","Xolmis irupero",c(596309.086292276, 6488672.59359958)
"59",2015-01-26,"research","Rocha","Athene cunicularia","Animalia","Chordata","Aves","Strigiformes","Strigidae","Athene","Athene cunicularia",c(819378.607373241, 6227360.40939257)
"60",2015-01-26,"research","Paysandú","Cathartes aura","Animalia","Chordata","Aves","Cathartiformes","Cathartidae","Cathartes","Cathartes aura",c(413102.168158857, 6496145.50317417)
"61",2015-01-26,"research","Paysandú","Cathartes aura","Animalia","Chordata","Aves","Cathartiformes","Cathartidae","Cathartes","Cathartes aura",c(413102.168158857, 6496145.50317417)
"62",2015-01-26,"research","Paysandú","Zonotrichia capensis","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Zonotrichia","Zonotrichia capensis",c(416518.047997643, 6464765.85299266)
"63",2015-01-26,"research","Paysandú","Vanellus chilensis","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Vanellus","Vanellus chilensis",c(416518.047997643, 6464765.85299266)
