"","user_login","primer_registro","ultimo_registro","registros","tiempo_activo","registros_x_tiempo","categoria_usuario"
"51","alberto976","2022-05-14 21:42:47 UTC","2022-09-11 19:46:00 UTC",20,120.918900462963,0.165400114650612,"principiante"
"52","albieni","2020-04-30 16:36:47 UTC","2021-10-31 12:06:04 UTC",7,549.812002314815,0.0127316245744521,"principiante"
"53","alcira8","2022-05-21 22:09:58 UTC","2022-05-21 22:49:47 UTC",8,1.02765046296296,7.78474811068939,"principiante"
"54","aldo141","2021-08-08 23:21:45 UTC","2021-10-11 03:01:32 UTC",25,64.1526273148148,0.389695653107363,"principiante"
"55","aldo173","2022-02-11 10:15:03 UTC","2022-03-17 00:35:01 UTC",60,34.5971990740741,1.73424443613304,"principiante"
"56","alecane","2021-12-15 16:50:28 UTC","2021-12-15 16:50:28 UTC",1,1,1,"principiante"
"57","aleduarte","2020-02-07 23:15:10 UTC","2022-10-29 13:04:35 UTC",239,995.575983796296,0.240062038347544,"intermedio"
"58","alefer","2019-08-29 17:07:07 UTC","2019-08-29 17:07:07 UTC",1,1,1,"principiante"
"59","alejandra281","2020-02-03 00:36:26 UTC","2020-02-03 00:36:26 UTC",1,1,1,"principiante"
"60","alejandra722","2022-08-07 15:33:51 UTC","2022-08-07 17:21:12 UTC",2,1.07454861111111,1.8612466474941,"principiante"
"61","alejandrapuglia","2022-05-22 01:50:54 UTC","2022-05-22 11:33:25 UTC",6,1.40452546296296,4.27190546431426,"principiante"
"62","alejandro_blengio","2021-06-27 21:28:54 UTC","2021-06-27 21:28:54 UTC",1,1,1,"principiante"
"63","alejandro879","2021-11-13 22:26:37 UTC","2021-11-13 22:26:37 UTC",1,1,1,"principiante"
"64","alejandromazza","2020-02-03 14:57:59 UTC","2022-01-18 22:27:13 UTC",5,716.311967592593,0.00698019888848735,"principiante"
"65","alejo36","2021-11-07 01:44:32 UTC","2021-11-08 06:13:36 UTC",10,2.18685185185185,4.57278347023457,"principiante"
"66","aleliaballone","2021-09-30 16:20:48 UTC","2021-12-06 00:14:46 UTC",11,67.3291435185185,0.163376502732053,"principiante"
"67","alelic2016","2021-10-24 13:39:49 UTC","2021-11-04 02:53:06 UTC",17,11.5508912037037,1.47174791106586,"principiante"
"68","alenuma","2022-09-19 17:46:34 UTC","2022-09-29 09:07:25 UTC",10,10.6394791666667,0.939895632422483,"principiante"
"69","alero60","2021-05-01 23:19:36 UTC","2021-05-01 23:19:36 UTC",1,1,1,"principiante"
"70","aleuru","2021-10-24 22:47:45 UTC","2021-10-24 22:47:45 UTC",1,1,1,"principiante"
"71","alevita","2021-02-20 02:10:01 UTC","2021-03-11 20:14:54 UTC",2,20.7533912037037,0.0963697923085975,"principiante"
"72","alexander233","2018-12-30 01:00:05 UTC","2018-12-30 01:08:16 UTC",4,1.00568287037037,3.97739696861585,"principiante"
"73","alexandervillanueva","2020-08-30 02:12:14 UTC","2020-08-30 02:12:14 UTC",1,1,1,"principiante"
"74","alexandra1234","2022-07-14 17:21:00 UTC","2022-07-14 17:21:00 UTC",1,1,1,"principiante"
"75","alexandra371","2020-01-21 21:39:55 UTC","2020-01-21 21:39:55 UTC",1,1,1,"principiante"
"76","alexisnez","2018-10-18 21:36:21 UTC","2018-10-19 11:55:00 UTC",18,1.59628472222222,11.2761838470407,"principiante"
"77","alexstinson","2020-03-29 21:54:23 UTC","2021-10-24 16:22:47 UTC",22,574.769722222222,0.0382761985355488,"principiante"
"78","alfonsinafernandez","2019-06-22 19:12:34 UTC","2020-01-10 02:35:45 UTC",2,202.307766203704,0.00988592794794739,"principiante"
"79","alfonso_diaz","2021-03-25 13:32:27 UTC","2021-11-12 23:54:59 UTC",9,233.432314814815,0.0385550732645556,"principiante"
"80","alforrulo","2020-11-03 14:05:47 UTC","2022-09-03 19:51:56 UTC",294,670.240381944444,0.438648592236523,"intermedio"
"81","alfredoenviro","2022-01-29 19:01:55 UTC","2022-09-24 14:37:47 UTC",43,238.816574074074,0.180054504871436,"principiante"
"82","alicemoore1","2020-03-01 13:44:36 UTC","2022-09-03 23:24:32 UTC",146,917.402731481482,0.159144937103283,"principiante"
"83","alina298","2022-09-17 17:50:45 UTC","2022-09-18 12:47:36 UTC",2,1.78947916666667,1.11764363467024,"principiante"
"84","alison457","2021-10-22 03:09:22 UTC","2021-10-25 10:03:02 UTC",3,4.28726851851852,0.699746234004643,"principiante"
"85","almaca","2020-08-07 22:19:51 UTC","2020-08-07 22:24:46 UTC",3,1.00341435185185,2.989791798835,"principiante"
"86","alvaro_moreno1","2021-08-05 12:39:25 UTC","2021-11-30 12:11:14 UTC",31,117.980428240741,0.262755445646833,"principiante"
"87","alvarogonz","2020-08-09 00:00:40 UTC","2022-04-03 21:57:23 UTC",5,603.914386574074,0.00827931923987493,"principiante"
"88","alvarommp","2020-10-25 20:00:43 UTC","2020-10-25 20:00:43 UTC",1,1,1,"principiante"
"89","amailhos","2019-01-28 01:08:57 UTC","2022-10-30 21:34:54 UTC",342,1372.85135416667,0.249116555089533,"intermedio"
"90","amelia_plk","2021-10-24 18:07:13 UTC","2021-11-11 13:33:46 UTC",12,18.8101041666667,0.637954999806177,"principiante"
"91","amelia108","2020-01-17 14:49:18 UTC","2020-01-17 14:49:18 UTC",1,1,1,"principiante"
"92","ana_ines1","2022-05-29 17:27:23 UTC","2022-05-29 17:27:23 UTC",1,1,1,"principiante"
"93","ana_laura15","2022-05-07 17:43:46 UTC","2022-05-07 17:43:46 UTC",1,1,1,"principiante"
"94","ana_lucia12","2021-12-25 03:18:13 UTC","2021-12-25 03:18:13 UTC",1,1,1,"principiante"
"95","ana_lucia16","2022-02-28 01:46:44 UTC","2022-02-28 18:15:44 UTC",8,1.68680555555556,4.74269246603541,"principiante"
"96","ana_rodriguez1","2021-08-22 15:57:34 UTC","2022-09-25 14:25:27 UTC",63,399.936030092593,0.157525192179895,"principiante"
"97","ana1142","2021-05-12 15:40:20 UTC","2021-05-12 15:40:20 UTC",1,1,1,"principiante"
"98","ana1812","2022-05-30 14:26:44 UTC","2022-10-12 13:33:48 UTC",43,135.963240740741,0.316261952611102,"principiante"
"99","ana344","2019-01-07 03:52:25 UTC","2019-01-12 14:13:59 UTC",2,6.43164351851852,0.310962508142971,"principiante"
"100","ana380","2019-03-06 00:16:09 UTC","2019-03-06 00:16:09 UTC",1,1,1,"principiante"
"101","anaceciliafaber","2022-01-12 20:43:46 UTC","2022-01-23 15:00:23 UTC",2,11.7615393518519,0.170045768684615,"principiante"
"102","anaclara_teixeira","2022-05-17 20:30:05 UTC","2022-05-21 21:29:12 UTC",6,5.04105324074074,1.19022746110064,"principiante"
"103","anaclarabeasley","2018-11-25 21:46:24 UTC","2021-12-15 20:45:02 UTC",50,1116.95738425926,0.0447644652379991,"principiante"
"104","anaclarafavre","2022-02-14 15:35:41 UTC","2022-02-14 15:35:41 UTC",1,1,1,"principiante"
"105","anaclaudiaalvarezpereira","2020-08-06 11:10:03 UTC","2021-05-16 19:46:55 UTC",14,284.358935185185,0.0492335505155928,"principiante"
"106","anadla","2022-05-14 18:47:20 UTC","2022-08-10 21:59:28 UTC",5,89.1334259259259,0.0560956784512606,"principiante"
"107","anae1","2020-01-03 22:03:31 UTC","2020-01-03 22:03:31 UTC",1,1,1,"principiante"
"108","anahi_monserrat","2021-01-01 19:26:39 UTC","2021-01-01 19:40:41 UTC",2,1.00974537037037,1.98069737053254,"principiante"
"109","anainesgp","2021-07-21 21:10:06 UTC","2022-06-06 15:19:36 UTC",151,320.756597222222,0.470761946309669,"intermedio"
