"","observed_on","quality_grade","place_admin1_name","taxon_species_name","taxon_kingdom_name","taxon_phylum_name","taxon_class_name","taxon_order_name","taxon_family_name","taxon_genus_name","scientific_name","geometry"
"32",2018-06-02,"research","Canelones","Eclipta elliptica","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Eclipta","Eclipta elliptica",c(624550.256361098, 6154808.42752221)
"33",2017-01-08,"research","Tacuarembó","Peltophorum dubium","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Peltophorum","Peltophorum dubium",c(609553.421630537, 6390790.92830088)
"34",2017-01-10,"research","Colonia","Erythrina crista-galli","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Erythrina","Erythrina crista-galli",c(419925.58592734, 6188669.08993251)
"35",2017-01-10,"research","Colonia","Opuntia monacantha","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Opuntia","Opuntia monacantha",c(421637.80780027, 6185296.67706711)
"36",2017-01-12,"research","Maldonado","Opuntia arechavaletae","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Opuntia","Opuntia arechavaletae",c(657763.269623433, 6139121.2713736)
"37",2017-01-12,"research","Maldonado","Spartium junceum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Spartium","Spartium junceum",c(678688.099677103, 6135524.72235418)
"38",2017-01-12,"research","Maldonado","Schlechtendalia luzulifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Schlechtendalia","Schlechtendalia luzulifolia",c(678591.224242975, 6135292.25901997)
"39",2018-06-23,"research","Montevideo","Senecio madagascariensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Senecio","Senecio madagascariensis",c(573227.62010684, 6139322.27306163)
"40",2013-10-12,"research","Colonia","Solanum laxum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Solanum","Solanum laxum",c(473381.492288712, 6205675.09220392)
"41",2013-10-12,"research","Colonia","Parodia erinacea","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Parodia","Parodia erinacea",c(473381.492288712, 6205675.09220392)
"42",2013-10-12,"research","Colonia","Petunia axillaris","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Petunia","Petunia axillaris",c(477805.725974354, 6198169.76195179)
"43",2013-10-14,"research","Colonia","Vachellia caven","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Vachellia","Vachellia caven",c(476520.933440632, 6195723.41883205)
"44",2018-08-26,"research","Montevideo","Vicia faba","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Vicia","Vicia faba",c(573434.755585145, 6141570.28836021)
"45",2018-10-18,"research","Florida","Parodia mammulosa","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Parodia","Parodia mammulosa",c(626546.929995541, 6243241.12716479)
"46",2018-10-18,"research","Florida","Senna corymbosa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Senna","Senna corymbosa",c(626492.803883193, 6243162.02733778)
"47",2014-09-01,"research","Salto","Solanum sisymbriifolium","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Solanum","Solanum sisymbriifolium",c(418653.28174327, 6545279.56702971)
