"","user_login","primer_registro","ultimo_registro","registros","tiempo_activo","registros_x_tiempo","categoria_usuario"
"52","arrietajuliohotmailcom","2020-06-21 13:14:53 UTC","2020-06-21 13:14:53 UTC",1,1,1,"principiante"
"53","aruaco","2021-04-29 03:20:04 UTC","2021-04-29 03:20:04 UTC",1,1,1,"principiante"
"54","asterisktom","2021-02-12 14:19:58 UTC","2021-02-12 14:32:56 UTC",4,1.00900462962963,3.96430292046158,"principiante"
"55","astridnautas","2020-05-14 04:39:25 UTC","2022-10-17 01:57:01 UTC",234,886.887222222222,0.263844144031842,"intermedio"
"56","augusto_rocca","2021-01-10 01:05:56 UTC","2022-01-01 20:15:50 UTC",3,357.798541666667,0.00838460656107109,"principiante"
"57","augusto118","2022-09-28 16:21:59 UTC","2022-09-28 16:21:59 UTC",1,1,1,"principiante"
"58","aurelien_miralles","2017-08-27 16:53:06 UTC","2017-08-27 17:13:51 UTC",10,1.01440972222222,9.85794968338183,"principiante"
"59","avallejo","2020-01-05 14:40:58 UTC","2020-01-05 14:40:58 UTC",1,1,1,"principiante"
"60","ayan_fleischmann","2020-09-03 22:57:02 UTC","2020-09-03 22:57:02 UTC",1,1,1,"principiante"
"61","azambolli","2022-06-28 00:29:53 UTC","2022-06-29 15:07:14 UTC",3,2.60927083333333,1.14974649686614,"principiante"
"62","azbozzetto","2019-08-02 23:41:59 UTC","2019-08-02 23:45:22 UTC",2,1.00234953703704,1.9953119406949,"principiante"
"63","barrylyons","2020-02-06 16:07:35 UTC","2020-11-13 16:07:06 UTC",68,281.999664351852,0.241135038782019,"intermedio"
"64","bartzed","2020-02-10 13:17:02 UTC","2020-02-10 13:17:02 UTC",1,1,1,"principiante"
"65","beavisnail","2020-05-15 23:34:43 UTC","2020-05-15 23:34:43 UTC",2,1,2,"principiante"
"66","belen76","2021-10-14 18:57:38 UTC","2021-10-14 18:57:38 UTC",1,1,1,"principiante"
"67","belendri","2021-03-30 20:11:34 UTC","2021-03-30 20:11:34 UTC",1,1,1,"principiante"
"68","bellinotto","2019-12-31 23:35:32 UTC","2019-12-31 23:35:32 UTC",1,1,1,"principiante"
