"","id","observado","usuario","nivel","ranking","latitude","longitude","departamento","clase","familia","especie","frequencia","distribucion","distribucion_2","Habito1","Hab1_freq","Habito2","Hab2_freq","status_global"
"30",18508848,"2018-11-18","mirmeleon","experimentado",11,-33.1666667,-54.45,"Treinta y Tres","Magnoliopsida","Fabaceae","Mimosa bifurca",4,1,"Baja","Arbusto",912,"Perenne",3810,"NE"
"31",18510835,"2018-11-19","carlos506","principiante",736,-31.6948833466,-55.9697990417,"Tacuarembó","Magnoliopsida","Fabaceae","Centrosema virginianum",5,7,"Media","Hierba",2782,"Perenne",3810,"NE"
"32",18581798,"2018-11-17","mirmeleon","experimentado",11,-33.1666667,-54.45,"Treinta y Tres","Magnoliopsida","Fabaceae","Trifolium polymorphum",18,16,"Media","Hierba",2782,"Perenne",3810,"NE"
"33",18623074,"2018-11-24","atenca","principiante",620,-31.4487953562,-57.9135634521,"Salto","Magnoliopsida","Fabaceae","Erythrina crista-galli",64,10,"Media","Arbol",314,"Perenne",3810,"LC"
"34",18649327,"2018-11-24","cece_uy","principiante",207,-31.9154,-55.4908116667,"Tacuarembó","Magnoliopsida","Fabaceae","Erythrina crista-galli",64,10,"Media","Arbol",314,"Perenne",3810,"LC"
"35",18754304,"2018-11-28","bluehorse","principiante",155,-34.4363899231,-57.2380561829,"Colonia","Magnoliopsida","Fabaceae","Erythrina crista-galli",64,10,"Media","Arbol",314,"Perenne",3810,"LC"
"36",18779517,"2018-12-02","evestin","principiante",130,-34.8443092095,-56.0012113675,"Canelones","Magnoliopsida","Fabaceae","Trifolium pratense",15,2,"Baja","Hierba",2782,"Perenne",3810,"LC"
"37",18779586,"2018-12-02","evestin","principiante",130,-34.8427702047,-56.0013213381,"Canelones","Magnoliopsida","Asteraceae","Senecio madagascariensis",80,5,"Baja","Hierba",2782,"Perenne",3810,"NE"
"38",18799447,"2018-12-02","psamofila","principiante",370,-34.9092116667,-54.9887916667,"Maldonado","Magnoliopsida","Asteraceae","Chrysolaena flexuosa",40,13,"Media","Hierba",2782,"Perenne",3810,"NE"
"39",18826311,"2018-12-02","bluehorse","principiante",155,-34.3644447327,-57.2883338928,"Colonia","Magnoliopsida","Asteraceae","Cynara cardunculus",14,5,"Baja","Hierba",2782,"Perenne",3810,"NE"
"40",18880928,"2018-10-08","cece_uy","principiante",207,-31.5251486813,-55.6536127468,"Rivera","Magnoliopsida","Fabaceae","Lupinus multiflorus",28,10,"Media","Hierba",2782,"Perenne",3810,"NE"
"41",18926329,"2018-12-09","elizabeth419","principiante",755,-34.8918269388,-55.220654346,"Maldonado","Magnoliopsida","Asteraceae","Stevia satureiifolia",41,7,"Media","Subarbusto",509,"Perenne",3810,"NE"
"42",18949696,"2018-12-10","brunoolivera","principiante",292,-34.3797607422,-55.2502326965,"Lavalleja","Magnoliopsida","Asteraceae","Cirsium vulgare",54,8,"Media","Hierba",2782,"Anual",766,"NE"
"43",18950431,"2018-10-27","brunoolivera","principiante",292,-34.3878936768,-55.2478790283,"Lavalleja","Magnoliopsida","Cactaceae","Parodia erinacea",153,0,"NE","Hierba",2782,"Perenne",3810,"LC"
"44",19417447,"2019-01-04","claracah","principiante",986,-34.7858409165,-54.5891118888,"Maldonado","Magnoliopsida","Fabaceae","Albizia julibrissin",1,0,"NE","Arbol",314,"Perenne",3810,"NE"
"45",19515355,"2018-12-31","cece_uy","principiante",207,-31.5228783333,-55.5930033333,"Rivera","Magnoliopsida","Cactaceae","Opuntia bonaerensis",11,0,"NE","Subarbusto",509,"Perenne",3810,"NE"
"46",19701434,"2019-01-17","evestin","principiante",130,-32.834227751,-56.500126468,"Durazno","Magnoliopsida","Solanaceae","Nierembergia linariifolia",8,2,"Baja","Hierba",2782,"Perenne",3810,"NE"
"47",19764370,"2019-01-20","nipoli","principiante",352,-34.8886404369,-56.1962069571,"Montevideo","Magnoliopsida","Fabaceae","Erythrina crista-galli",64,10,"Media","Arbol",314,"Perenne",3810,"LC"
"48",19918216,"2019-01-26","amailhos","intermedio",35,-34.8681750954,-55.26261013,"Maldonado","Magnoliopsida","Asteraceae","Bidens pilosa",27,6,"Media","Hierba",2782,"Anual",766,"NE"
"49",20238626,"2018-10-02","santiagomailhos","experimentado",1,-32.5316,-58.0595166667,"Río Negro","Magnoliopsida","Solanaceae","Calibrachoa pygmaea",10,9,"Media","Hierba",2782,"Anual",766,"NE"
"50",20353217,"2019-02-14","santiagomailhos","experimentado",1,-32.519225,-58.05445,"Río Negro","Magnoliopsida","Asteraceae","Solidago chilensis",42,3,"Baja","Hierba",2782,"Perenne",3810,"NE"
"51",20354138,"2019-02-14","santiagomailhos","experimentado",1,-32.5182216667,-58.0524555,"Río Negro","Magnoliopsida","Asteraceae","Chromolaena hirsuta",52,12,"Media","Subarbusto",509,"Perenne",3810,"NE"
"52",20374864,"2019-02-15","santiagomailhos","experimentado",1,-32.5285333333,-58.0387916667,"Río Negro","Magnoliopsida","Solanaceae","Datura ferox",11,5,"Baja","Hierba",2782,"Anual",766,"NE"
"53",20374902,"2019-02-14","santiagomailhos","experimentado",1,-32.5195833333,-58.0551805,"Río Negro","Magnoliopsida","Asteraceae","Elephantopus mollis",8,3,"Baja","Hierba",2782,"Perenne",3810,"NE"
"54",20502618,"2019-01-24","pablobaldu","experimentado",9,-34.873530425,-56.0608336889,"Montevideo","Magnoliopsida","Fabaceae","Vachellia karroo",3,0,"NE","Arbusto",912,"Perenne",3810,"LC"
"55",20502712,"2018-10-27","pablobaldu","experimentado",9,-34.8595168155,-56.2003808849,"Montevideo","Magnoliopsida","Fabaceae","Calliandra tweediei",38,13,"Media","Arbusto",912,"Perenne",3810,"LC"
"56",20696786,"2017-03-12","pablobaldu","experimentado",9,-34.2878927,-55.2686977,"Lavalleja","Magnoliopsida","Asteraceae","Cynara cardunculus",14,5,"Baja","Hierba",2782,"Perenne",3810,"NE"
"57",20709598,"2016-12-16","pablobaldu","experimentado",9,-34.8737812836,-56.0629633633,"Montevideo","Magnoliopsida","Solanaceae","Solanum mauritianum",40,6,"Media","Arbusto",912,"Perenne",3810,"NE"
"58",20793668,"2019-02-19","joaco5","intermedio",26,-34.8238724687,-55.3008366376,"Maldonado","Magnoliopsida","Asteraceae","Hypochaeris radicata",40,7,"Media","Hierba",2782,"Perenne",3810,"NE"
"59",20968852,"2019-03-03","saitam1712","principiante",218,-34.7590027498,-56.5209030325,"Canelones","Magnoliopsida","Asteraceae","Solidago chilensis",42,3,"Baja","Hierba",2782,"Perenne",3810,"NE"
"60",21078169,"2019-02-14","santiagomailhos","experimentado",1,-32.5163166667,-58.0500195,"Río Negro","Magnoliopsida","Asteraceae","Verbesina subcordata",8,12,"Media","Subarbusto",509,"Perenne",3810,"NE"
"61",21191682,"2019-03-12","santiagomailhos","experimentado",1,-34.16335,-56.6916866667,"San José","Magnoliopsida","Asteraceae","Achyrocline saturejoides",23,13,"Media","Subarbusto",509,"Perenne",3810,"NE"
"62",21372509,"2019-01-27","santiagomailhos","experimentado",1,-32.52922,-58.0383221667,"Río Negro","Magnoliopsida","Fabaceae","Bauhinia forficata",17,4,"Baja","Arbol",314,"Perenne",3810,"LC"
"63",21372574,"2019-01-25","santiagomailhos","experimentado",1,-32.5312466667,-58.0671583333,"Río Negro","Magnoliopsida","Asteraceae","Centaurea solstitialis",1,7,"Media","Hierba",2782,"Anual",766,"NE"
"64",21426399,"2018-11-24","santiagomailhos","experimentado",1,-32.520845,-58.0452833333,"Río Negro","Magnoliopsida","Cactaceae","Opuntia rioplatense",9,4,"Baja","Hierba",2782,"Perenne",3810,"NE"
"65",21436224,"2019-01-28","santiagomailhos","experimentado",1,-32.5294883333,-58.0385778333,"Río Negro","Magnoliopsida","Asteraceae","Baccharis coridifolia",25,13,"Media","Arbusto",912,"Perenne",3810,"NE"
"66",21436605,"2019-01-09","santiagomailhos","experimentado",1,-33.1318888333,-57.1669666667,"Soriano","Magnoliopsida","Fabaceae","Desmodium incanum",9,9,"Media","Hierba",2782,"Perenne",3810,"NE"
"67",21436866,"2019-01-05","santiagomailhos","experimentado",1,-32.534795,-58.0262,"Río Negro","Magnoliopsida","Asteraceae","Grindelia pulchella",6,4,"Baja","Subarbusto",509,"Perenne",3810,"NE"
"68",21463511,"2018-11-23","santiagomailhos","experimentado",1,-32.5145216667,-58.0254221667,"Paysandú","Magnoliopsida","Asteraceae","Helenium radiatum",8,13,"Media","Hierba",2782,"Perenne",3810,"NE"
"69",21464197,"2018-11-11","santiagomailhos","experimentado",1,-34.7598333333,-55.7353283333,"Canelones","Magnoliopsida","Asteraceae","Coreopsis lanceolata",3,1,"Baja","Hierba",2782,"Perenne",3810,"NE"
"70",21464340,"2018-11-06","santiagomailhos","experimentado",1,-32.5255883333,-58.0260361667,"Paysandú","Magnoliopsida","Asteraceae","Vernonanthura montevidensis",10,9,"Media","Arbusto",912,"Perenne",3810,"NE"
"71",21494231,"2018-11-03","santiagomailhos","experimentado",1,-34.8876333333,-56.0468945,"Montevideo","Magnoliopsida","Asteraceae","Chamaemelum mixtum",14,12,"Media","Hierba",2782,"Anual",766,"NE"
"72",21494843,"2018-10-27","santiagomailhos","experimentado",1,-34.3298716667,-56.32178,"Florida","Magnoliopsida","Solanaceae","Solanum mauritianum",40,6,"Media","Arbusto",912,"Perenne",3810,"NE"
"73",21494896,"2018-10-27","santiagomailhos","experimentado",1,-34.34485,-56.3186,"Florida","Magnoliopsida","Fabaceae","Trifolium polymorphum",18,16,"Media","Hierba",2782,"Perenne",3810,"NE"
"74",21525571,"2018-10-19","santiagomailhos","experimentado",1,-32.53172,-58.0274388333,"Río Negro","Magnoliopsida","Solanaceae","Solanum bonariense",9,3,"Baja","Arbusto",912,"Perenne",3810,"NE"
"75",21562397,"2018-10-18","santiagomailhos","experimentado",1,-32.5335283333,-58.0597083333,"Río Negro","Magnoliopsida","Asteraceae","Acmella decumbens",12,3,"Baja","Hierba",2782,"Perenne",3810,"NE"
"76",21562533,"2018-10-18","santiagomailhos","experimentado",1,-32.53157,-58.0599028333,"Río Negro","Magnoliopsida","Asteraceae","Picrosia longifolia",16,1,"Baja","Hierba",2782,"Perenne",3810,"NE"
"77",21562641,"2018-10-17","santiagomailhos","experimentado",1,-32.5289616667,-58.0285195,"Río Negro","Magnoliopsida","Solanaceae","Solanum laxum",31,10,"Media","Hierba",2782,"Perenne",3810,"NE"
"78",21563206,"2018-10-06","santiagomailhos","experimentado",1,-34.8927883333,-56.0569305,"Montevideo","Magnoliopsida","Asteraceae","Senecio crassiflorus",80,6,"Media","Hierba",2782,"Perenne",3810,"NE"
"79",21563454,"2018-10-06","santiagomailhos","experimentado",1,-34.89272,-56.0568971667,"Montevideo","Magnoliopsida","Fabaceae","Lupinus bracteolaris",40,14,"Media","Hierba",2782,"Anual",766,"NE"
"80",21563551,"2018-10-04","santiagomailhos","experimentado",1,-32.5248133333,-58.0365361667,"Río Negro","Magnoliopsida","Asteraceae","Pamphalea heterophylla",3,19,"Alta","Hierba",2782,"Anual",766,"NE"
"81",21572824,"2018-10-02","santiagomailhos","experimentado",1,-32.5295966667,-58.0566721667,"Río Negro","Magnoliopsida","Fabaceae","Vachellia caven",65,14,"Media","Arbusto",912,"Perenne",3810,"LC"
"82",21628896,"2017-10-27","santiagomailhos","experimentado",1,-34.157525,-56.6933533333,"San José","Magnoliopsida","Fabaceae","Vicia benghalensis",8,8,"Media","Hierba",2782,"Anual",766,"NE"
"83",21628954,"2019-03-26","santiagomailhos","experimentado",1,-32.5234137649,-58.0388244077,"Río Negro","Magnoliopsida","Asteraceae","Chaptalia piloselloides",21,10,"Media","Hierba",2782,"Perenne",3810,"NE"
"84",21630914,"2018-09-16","santiagomailhos","experimentado",1,-32.5273166667,-58.0382833333,"Río Negro","Magnoliopsida","Asteraceae","Trixis praestans",18,9,"Media","Arbusto",912,"Perenne",3810,"NE"
"85",21631163,"2018-08-29","santiagomailhos","experimentado",1,-33.1331166667,-57.1649778333,"Soriano","Magnoliopsida","Fabaceae","Acacia dealbata",16,4,"Baja","Arbol",314,"Perenne",3810,"LC"
"86",21631347,"2018-07-11","santiagomailhos","experimentado",1,-32.5282216667,-58.0382055,"Río Negro","Magnoliopsida","Asteraceae","Taraxacum officinale",27,2,"Baja","Hierba",2782,"Perenne",3810,"NE"
"87",21631847,"2018-03-29","santiagomailhos","experimentado",1,-32.5178616667,-58.0521778333,"Río Negro","Magnoliopsida","Asteraceae","Chromolaena ivifolia",2,10,"Media","Subarbusto",509,"Perenne",3810,"NE"
"88",21631905,"2018-03-29","santiagomailhos","experimentado",1,-32.519645,-58.05495,"Río Negro","Magnoliopsida","Asteraceae","Solidago chilensis",42,3,"Baja","Hierba",2782,"Perenne",3810,"NE"
