"","id","observado","usuario","latitude","longitude","place_admin1_name","especie","clase","familia","distribucion","largo_cm","status_global","status_regional","nivel","ranking"
"425",13057185,"2017-01-07","liuid",-31.7554069604,-55.9887523926,"Tacuarembó","Platalea ajaja","Aves","Threskiornithidae",19,55,"LC","LC","visitante",7
"426",13057186,"2017-01-07","liuid",-32.1782709181,-55.713478199,"Tacuarembó","Ardea cocoi","Aves","Ardeidae",19,75,"LC","LC","visitante",7
"427",13060101,"2017-01-09","liuid",-32.6075790382,-55.8560753547,"Tacuarembó","Patagioenas maculosa","Aves","Columbidae",19,33,"LC","LC","visitante",7
"428",13060102,"2017-01-09","liuid",-32.6075790382,-55.8560753547,"Tacuarembó","Turdus rufiventris","Aves","Turdidae",19,23,"LC","LC","visitante",7
"429",13060105,"2017-01-09","liuid",-32.6075790382,-55.8560753547,"Tacuarembó","Chroicocephalus cirrocephalus","Aves","Laridae",15,38,"LC","LC","visitante",7
"430",13060122,"2017-01-09","liuid",-32.6075790382,-55.8560753547,"Tacuarembó","Patagioenas maculosa","Aves","Columbidae",19,33,"LC","LC","visitante",7
"431",13063696,"2017-01-09","liuid",-32.8311384218,-56.4190693032,"Durazno","Ardea cocoi","Aves","Ardeidae",19,75,"LC","LC","visitante",7
"432",13063698,"2017-01-09","liuid",-32.8311384218,-56.4190693032,"Durazno","Nannopterum brasilianum","Aves","Phalacrocoracidae",19,63,"LC","LC","visitante",7
"433",13067801,"2017-01-10","liuid",-34.4221038255,-57.5830721848,"Colonia","Agelaioides badius","Aves","Icteridae",19,18,"LC","LC","visitante",7
"434",13067802,"2017-01-10","liuid",-34.4221038255,-57.5830721848,"Colonia","Furnarius rufus","Aves","Furnariidae",19,18,"LC","LC","visitante",7
"435",13067803,"2017-01-10","liuid",-34.4221038255,-57.5830721848,"Colonia","Turdus amaurochalinus","Aves","Turdidae",19,21,"LC","LC","visitante",7
"436",13067804,"2017-01-10","liuid",-34.4221038255,-57.5830721848,"Colonia","Paroaria coronata","Aves","Thraupidae",19,17,"LC","LC","visitante",7
"437",13067805,"2017-01-10","liuid",-34.4221038255,-57.5830721848,"Colonia","Zonotrichia capensis","Aves","Passerellidae",19,12,"LC","LC","visitante",7
"438",13067806,"2017-01-10","liuid",-34.4221038255,-57.5830721848,"Colonia","Molothrus bonariensis","Aves","Icteridae",19,19,"LC","LC","visitante",7
"439",13067807,"2017-01-10","liuid",-34.4221038255,-57.5830721848,"Colonia","Colaptes melanochloros","Aves","Picidae",19,23,"LC","LC","visitante",7
"440",13067808,"2017-01-10","liuid",-34.4221038255,-57.5830721848,"Colonia","Turdus rufiventris","Aves","Turdidae",19,23,"LC","LC","visitante",7
"441",13067809,"2017-01-10","liuid",-34.4221038255,-57.5830721848,"Colonia","Patagioenas picazuro","Aves","Columbidae",19,35,"LC","LC","visitante",7
"442",13067810,"2017-01-10","liuid",-34.4221038255,-57.5830721848,"Colonia","Colaptes melanochloros","Aves","Picidae",19,23,"LC","LC","visitante",7
"443",13067811,"2017-01-10","liuid",-34.4221038255,-57.5830721848,"Colonia","Colaptes melanochloros","Aves","Picidae",19,23,"LC","LC","visitante",7
"444",13068362,"2017-01-10","liuid",-34.421795598,-57.5831039037,"Colonia","Pitangus sulphuratus","Aves","Tyrannidae",19,22,"LC","LC","visitante",7
"445",13068363,"2017-01-10","liuid",-34.421795598,-57.5831039037,"Colonia","Paroaria coronata","Aves","Thraupidae",19,17,"LC","LC","visitante",7
"446",13078233,"2017-01-11","liuid",-34.4241827683,-57.5822027075,"Colonia","Tyrannus melancholicus","Aves","Tyrannidae",19,20,"LC","LC","visitante",7
"447",13078234,"2017-01-11","liuid",-34.4241827683,-57.5822027075,"Colonia","Tyrannus melancholicus","Aves","Tyrannidae",19,20,"LC","LC","visitante",7
"448",13078235,"2017-01-11","liuid",-34.4241827683,-57.5822027075,"Colonia","Caracara plancus","Aves","Falconidae",19,55,"LC","LC","visitante",7
"449",13078236,"2017-01-11","liuid",-34.424311704,-57.5824709282,"Colonia","Zenaida auriculata","Aves","Columbidae",19,23,"LC","LC","visitante",7
"450",13078237,"2017-01-11","liuid",-34.424311704,-57.5824709282,"Colonia","Pitangus sulphuratus","Aves","Tyrannidae",19,22,"LC","LC","visitante",7
"451",13078238,"2017-01-11","liuid",-34.424311704,-57.5824709282,"Colonia","Tyrannus melancholicus","Aves","Tyrannidae",19,20,"LC","LC","visitante",7
"452",13078242,"2017-01-11","liuid",-34.424311704,-57.5824709282,"Colonia","Paroaria coronata","Aves","Thraupidae",19,17,"LC","LC","visitante",7
"453",13079308,"2017-01-11","liuid",-34.4222608291,-57.5829859228,"Colonia","Aramides cajaneus","Aves","Rallidae",19,36,"LC","LC","visitante",7
"454",13079692,"2017-01-03","liuid",-31.1788264692,-55.9085011482,"Rivera","Penelope obscura","Aves","Cracidae",19,69,"LC","LC","visitante",7
"455",13093638,"2017-01-11","liuid",-34.3467658724,-57.3722949684,"Colonia","Bubulcus ibis","Aves","Ardeidae",19,37,"LC","LC","visitante",7
"456",13093639,"2017-01-11","liuid",-34.3467658724,-57.3722949684,"Colonia","Zenaida auriculata","Aves","Columbidae",19,23,"LC","LC","visitante",7
"457",13093640,"2017-01-11","liuid",-34.3467658724,-57.3722949684,"Colonia","Tyrannus savana","Aves","Tyrannidae",19,38,"LC","LC","visitante",7
"458",13098429,"2017-01-12","liuid",-34.864523255,-55.2571177295,"Maldonado","Salvator merianae","Reptilia","Teiidae",19,140,"LC","LC","visitante",7
"459",13098432,"2017-01-12","liuid",-34.864523255,-55.2571177295,"Maldonado","Cathartes aura","Aves","Cathartidae",19,60,"LC","LC","visitante",7
"460",13098433,"2017-01-12","liuid",-34.864523255,-55.2571177295,"Maldonado","Turdus amaurochalinus","Aves","Turdidae",19,21,"LC","LC","visitante",7
"461",13102641,"2017-01-13","liuid",-34.5838184559,-54.1226737249,"Rocha","Sicalis flaveola","Aves","Thraupidae",19,12,"LC","LC","visitante",7
"462",13104761,"2017-01-13","liuid",-34.4032686425,-53.7768671519,"Rocha","Haematopus palliatus","Aves","Haematopodidae",8,35,"LC","LC","visitante",7
"463",13104763,"2017-01-13","liuid",-34.403492406,-53.7767622376,"Rocha","Larus dominicanus","Aves","Laridae",16,55,"LC","LC","visitante",7
"464",13104764,"2017-01-13","liuid",-34.4058103303,-53.7775567214,"Rocha","Arctocephalus australis","Mammalia","Otariidae",7,150,"LC","LC","visitante",7
"465",13104770,"2017-01-13","liuid",-34.4029316713,-53.7695877264,"Rocha","Larus dominicanus","Aves","Laridae",16,55,"LC","LC","visitante",7
"466",13195057,"2017-01-13","liuid",-34.4060389993,-53.7776416456,"Rocha","Otaria byronia","Mammalia","Otariidae",5,210,"LC","LC","visitante",7
"467",13197680,"2017-01-14","liuid",-34.3375455048,-53.7938790793,"Rocha","Tringa flavipes","Aves","Scolopacidae",19,25,"LC","LC","visitante",7
"468",13197681,"2017-01-14","liuid",-34.3375455048,-53.7938790793,"Rocha","Gallinula galeata","Aves","Rallidae",19,33,"LC","LC","visitante",7
"469",13592430,"2012-12-27","pedro1203",-34.5618053306,-57.8681208805,"Colonia","Ctenomys pearsoni","Mammalia","Ctenomyidae",6,26,"NT","VU","visitante",202
"470",13729007,"2010-04-16","rockybajada",-31.6467766104,-55.6911755256,"Tacuarembó","Cariama cristata","Aves","Cariamidae",19,70,"LC","LC","visitante",138
"475",14197730,"2018-07-09","carlos-nat",-33.9641788323,-58.2956889645,"Colonia","Vanellus chilensis","Aves","Charadriidae",19,32,"LC","LC","visitante",236
"476",14197820,"2018-07-09","carlos-nat",-33.9642839413,-58.2957333047,"Colonia","Vanellus chilensis","Aves","Charadriidae",19,32,"LC","LC","visitante",236
"477",14217096,"2013-11-29","shling20",-34.5615588445,-54.1310047725,"Rocha","Athene cunicularia","Aves","Strigidae",19,25,"LC","NT","visitante",210
"478",14217097,"2013-11-29","shling20",-34.5771830185,-54.1621971535,"Rocha","Platalea ajaja","Aves","Threskiornithidae",19,55,"LC","LC","visitante",210
"479",14217102,"2013-11-29","shling20",-34.5714767556,-54.13937363,"Rocha","Tyrannus savana","Aves","Tyrannidae",19,38,"LC","LC","visitante",210
"480",14268019,"2013-12-27","pedro1203",-34.8945200551,-56.1528396606,"Montevideo","Molothrus bonariensis","Aves","Icteridae",19,19,"LC","LC","visitante",202
"486",15379580,"2013-10-12","carancho",-34.2897808,-57.2892272,"Colonia","Zenaida auriculata","Aves","Columbidae",19,23,"LC","LC","visitante",11
"487",15379581,"2013-10-12","carancho",-34.2897808,-57.2892272,"Colonia","Furnarius rufus","Aves","Furnariidae",19,18,"LC","LC","visitante",11
"488",15379582,"2013-10-12","carancho",-34.2897808,-57.2892272,"Colonia","Rupornis magnirostris","Aves","Accipitridae",19,38,"LC","LC","visitante",11
"489",15379594,"2013-10-12","carancho",-34.2897808,-57.2892272,"Colonia","Cathartes aura","Aves","Cathartidae",19,60,"LC","LC","visitante",11
"490",15379602,"2013-10-12","carancho",-34.2897808,-57.2892272,"Colonia","Rupornis magnirostris","Aves","Accipitridae",19,38,"LC","LC","visitante",11
"491",15379608,"2013-10-12","carancho",-34.2897808,-57.2892272,"Colonia","Pseudoleistes virescens","Aves","Icteridae",19,21,"LC","LC","visitante",11
"492",15379609,"2013-10-12","carancho",-34.2897808,-57.2892272,"Colonia","Zonotrichia capensis","Aves","Passerellidae",19,12,"LC","LC","visitante",11
"493",15379610,"2013-10-12","carancho",-34.3575706391,-57.2413491671,"Colonia","Pseudoleistes virescens","Aves","Icteridae",19,21,"LC","LC","visitante",11
