id,observado,usuario,latitude,longitude,place_admin1_name,especie,clase,familia,distribucion,largo_cm,status_global,status_regional,nivel,ranking
119949595,2020-08-30,batitu,-34.7617171,-56.4286891,San José,Calidris bairdii,Aves,Scolopacidae,10,17,LC,LC,intermedio,13
119949597,2020-08-30,batitu,-34.7617171,-56.4286891,San José,Coscoroba coscoroba,Aves,Anatidae,19,71,LC,LC,intermedio,13
119949598,2020-08-30,batitu,-34.7617171,-56.4286891,San José,Nomonyx dominicus,Aves,Anatidae,13,33,LC,DD,intermedio,13
119949603,2020-08-30,batitu,-34.7617171,-56.4286891,San José,Haematopus palliatus,Aves,Haematopodidae,8,35,LC,LC,intermedio,13
119949606,2020-08-30,batitu,-34.7617171,-56.4286891,San José,Thamnophilus ruficapillus,Aves,Thamnophilidae,19,16,LC,LC,intermedio,13
119950576,2020-09-13,batitu,-34.7617171,-56.4286891,San José,Agelasticus thilius,Aves,Icteridae,19,17,LC,LC,intermedio,13
119950580,2020-09-13,batitu,-34.7617171,-56.4286891,San José,Agelasticus thilius,Aves,Icteridae,19,17,LC,LC,intermedio,13
119950581,2020-09-13,batitu,-34.7617171,-56.4286891,San José,Chroicocephalus cirrocephalus,Aves,Laridae,15,38,LC,LC,intermedio,13
119950584,2020-09-13,batitu,-34.8737154,-56.216517,Montevideo,Phalaropus tricolor,Aves,Scolopacidae,19,21,LC,LC,intermedio,13
119950589,2020-09-13,batitu,-34.7617171,-56.4286891,San José,Nomonyx dominicus,Aves,Anatidae,13,33,LC,DD,intermedio,13
119950592,2020-09-13,batitu,-34.7617171,-56.4286891,San José,Pardirallus sanguinolentus,Aves,Rallidae,19,29,LC,LC,intermedio,13
119950593,2020-09-13,batitu,-34.8737154,-56.216517,Montevideo,Calidris himantopus,Aves,Scolopacidae,8,21,LC,LC,intermedio,13
119950599,2020-09-27,batitu,-34.7617171,-56.4286891,San José,Geothlypis aequinoctialis,Aves,Parulidae,19,13,LC,LC,intermedio,13
119950602,2020-10-03,batitu,-34.7720294,-55.8411065,Canelones,Florisuga fusca,Aves,Trochilidae,14,9,LC,LC,intermedio,13
119950603,2020-10-12,batitu,-32.142282,-53.730612,Cerro Largo,Trogon surrucura,Aves,Trogonidae,2,24,LC,NE,intermedio,13
119950612,2020-10-12,batitu,-32.142282,-53.730612,Cerro Largo,Trogon surrucura,Aves,Trogonidae,2,24,LC,NE,intermedio,13
119950613,2020-10-10,batitu,-32.142282,-53.730612,Cerro Largo,Glaucidium brasilianum,Aves,Strigidae,19,18,LC,LC,intermedio,13
119951455,2020-10-10,batitu,-32.142282,-53.730612,Cerro Largo,Dendrocolaptes platyrostris,Aves,Furnariidae,1,25,LC,NE,intermedio,13
119951456,2020-10-11,batitu,-32.142282,-53.730612,Cerro Largo,Pachyramphus validus,Aves,Tityridae,2,17,LC,DD,intermedio,13
119951457,2020-10-11,batitu,-32.142282,-53.730612,Cerro Largo,Tolmomyias sulphurescens,Aves,Tyrannidae,1,13,LC,NE,intermedio,13
119951459,2020-10-11,batitu,-32.142282,-53.730612,Cerro Largo,Elaenia sordida,Aves,Tyrannidae,7,16,LC,NT,intermedio,13
119951460,2020-10-11,batitu,-32.1410443476,-53.7896649557,Cerro Largo,Cyanocorax caeruleus,Aves,Corvidae,2,35,NT,VU,intermedio,13
119951462,2020-10-14,batitu,-34.7617171,-56.4286891,San José,Gelochelidon nilotica,Aves,Laridae,15,34,LC,LC,intermedio,13
119951463,2020-10-18,batitu,-34.9011127,-56.1645314,Montevideo,Pygochelidon cyanoleuca,Aves,Hirundinidae,19,11,LC,LC,intermedio,13
119951465,2020-10-18,batitu,-34.9011127,-56.1645314,Montevideo,Hydropsalis torquata,Aves,Caprimulgidae,19,40,LC,LC,intermedio,13
120016979,2022-06-03,francescamollica,-34.7728481598,-55.8165364869,Canelones,Setophaga pitiayumi,Aves,Parulidae,19,9,LC,LC,principiante,1263
120039212,2022-06-03,daniel_hp,-34.6653333641,-55.6547242776,Canelones,Mimus saturninus,Aves,Mimidae,19,25,LC,LC,intermedio,12
120054855,2022-06-03,karinaviera,-34.879535675,-56.0790710447,Montevideo,Vanellus chilensis,Aves,Charadriidae,19,32,LC,LC,intermedio,76
120055763,2022-06-03,karinaviera,-34.3552250556,-56.7169457674,San José,Piranga flava,Aves,Cardinalidae,19,17,LC,LC,intermedio,76
120062508,2022-05-31,cruzravenheart,-32.4116439722,-58.0076255556,Paysandú,Colaptes melanochloros,Aves,Picidae,19,23,LC,LC,intermedio,56
120062575,2022-06-01,cruzravenheart,-32.4117019114,-58.0077950656,Paysandú,Myiopsitta monachus,Aves,Psittacidae,19,27,LC,LC,intermedio,56
120062601,2022-05-31,cruzravenheart,-32.4117164444,-58.0077972222,Paysandú,Columbina picui,Aves,Columbidae,19,15,LC,LC,intermedio,56
120063137,2022-06-03,cruzravenheart,-32.4115409722,-58.0076560833,Paysandú,Pitangus sulphuratus,Aves,Tyrannidae,19,22,LC,LC,intermedio,56
120063234,2022-06-03,cruzravenheart,-32.4115486111,-58.0076560833,Paysandú,Sicalis flaveola,Aves,Thraupidae,19,12,LC,LC,intermedio,56
120076005,2021-02-18,martinruiz93,-34.7188029169,-56.2435955554,Canelones,Athene cunicularia,Aves,Strigidae,19,25,LC,NT,intermedio,108
