,quality_grade,taxon_species_name,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,Distribution,Size (cm)
507,research,Busarellus nigricollis,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Busarellus,Comun,48
299,research,Buteo swainsoni,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,Abundante,48
27,research,Buteogallus meridionalis,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteogallus,Abundante,51
487,research,Buteogallus urubitinga,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteogallus,Abundante,61
206,research,Butorides striata,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Butorides,Abundante,34
372,research,Cacicus chrysopterus,Animalia,Chordata,Aves,Passeriformes,Icteridae,Cacicus,Comun,21
473,research,Cacicus haemorrhous,Animalia,Chordata,Aves,Passeriformes,Icteridae,Cacicus,Rara,24
495,research,Cacicus solitarius,Animalia,Chordata,Aves,Passeriformes,Icteridae,Cacicus,Abundante,24
259,research,Cairina moschata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cairina,Comun,73
280,research,Calidris alba,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Comun,19
476,research,Calidris bairdii,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Comun,17
326,research,Calidris canutus,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Comun,23
54,research,Calidris fuscicollis,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Abundante,16
414,research,Calidris himantopus,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Comun,21
167,research,Calidris melanotos,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Abundante,20
509,research,Calidris minutilla,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Rara,13
147,research,Calidris subruficollis,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Abundante,20
188,research,Callonetta leucophrys,Animalia,Chordata,Aves,Anseriformes,Anatidae,Callonetta,Abundante,31
556,research,Calonectris diomedea,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Calonectris,NA,NA
499,research,Campephilus leucopogon,Animalia,Chordata,Aves,Piciformes,Picidae,Campephilus,Comun,29
285,research,Camptostoma obsoletum,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Camptostoma,Abundante,9
60,research,Caracara plancus,Animalia,Chordata,Aves,Falconiformes,Falconidae,Caracara,Abundante,55
243,research,Carduelis carduelis,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Carduelis,Comun,12
160,research,Cariama cristata,Animalia,Chordata,Aves,Cariamiformes,Cariamidae,Cariama,Abundante,70
544,research,Casiornis rufus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Casiornis,Rara,16
43,research,Cathartes aura,Animalia,Chordata,Aves,Cathartiformes,Cathartidae,Cathartes,Abundante,60
57,research,Cathartes burrovianus,Animalia,Chordata,Aves,Cathartiformes,Cathartidae,Cathartes,Abundante,56
274,research,Certhiaxis cinnamomeus,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Certhiaxis,Abundante,13
587,research,Chaetura meridionalis,Animalia,Chordata,Aves,Caprimulgiformes,Apodidae,Chaetura,Rara,12
68,research,Charadrius collaris,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Abundante,14
140,research,Charadrius falklandicus,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Comun,16
246,research,Charadrius modestus,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Abundante,19
50,research,Charadrius semipalmatus,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Rara,15
70,research,Chauna torquata,Animalia,Chordata,Aves,Anseriformes,Anhimidae,Chauna,Abundante,85
489,research,Chionis albus,Animalia,Chordata,Aves,Charadriiformes,Chionidae,Chionis,Rara,37
397,research,Chloris chloris,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Chloris,Comun,14
78,research,Chloroceryle amazona,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Chloroceryle,Abundante,26
89,research,Chloroceryle americana,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Chloroceryle,Abundante,18
481,research,Chlorophonia cyanocephala,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Chlorophonia,Rara,10
77,research,Chlorostilbon lucidus,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Chlorostilbon,Abundante,7
508,research,Chordeiles minor,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,Abundante,22
201,research,Chordeiles nacunda,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,Abundante,28
116,research,Chroicocephalus cirrocephalus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,Abundante,38
51,research,Chroicocephalus maculipennis,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,Abundante,35
171,research,Chrysomus ruficapillus,Animalia,Chordata,Aves,Passeriformes,Icteridae,Chrysomus,Abundante,17
48,research,Ciconia maguari,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia,Abundante,85
304,research,Cinclodes fuscus,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Cinclodes,Abundante,16
149,research,Circus buffoni,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,Abundante,52
286,research,Circus cinereus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,Abundante,48
334,research,Cistothorus platensis,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Cistothorus,Abundante,10
564,research,Cnemotriccus fuscatus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Cnemotriccus,Rara,12
346,research,Coccycua cinerea,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Coccycua,Abundante,22
388,research,Coccyzus melacoryphus,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Coccyzus,Abundante,28
510,research,Coereba flaveola,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Coereba,Comun,10
10,research,Colaptes campestris,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Abundante,27
35,research,Colaptes melanochloros,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,Abundante,23
117,research,Columba livia,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,Abundante,33
250,research,Columbina picui,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columbina,Abundante,15
461,research,Columbina talpacoti,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columbina,Abundante,15
528,research,Conopophaga lineata,Animalia,Chordata,Aves,Passeriformes,Conopophagidae,Conopophaga,Rara,11
58,research,Coragyps atratus,Animalia,Chordata,Aves,Cathartiformes,Cathartidae,Coragyps,Abundante,53
555,research,Corvus splendens,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,NA,NA
474,research,Coryphistera alaudina,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Coryphistera,Comun,15
436,research,Coryphospingus cucullatus,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Coryphospingus,Abundante,12
136,research,Coscoroba coscoroba,Animalia,Chordata,Aves,Anseriformes,Anatidae,Coscoroba,Abundante,71
302,research,Cranioleuca pyrrhophia,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Cranioleuca,Abundante,14
539,research,Crotophaga ani,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Crotophaga,Abundante,32
521,research,Crotophaga major,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Crotophaga,Rara,42
531,research,Crypturellus obsoletus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Crypturellus,Rara,30
559,research,Culicivora caudacuta,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Culicivora,Abuntante,10
535,research,Cyanocorax caeruleus,Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanocorax,Rara,35
61,research,Cyanocorax chrysops,Animalia,Chordata,Aves,Passeriformes,Corvidae,Cyanocorax,Abundante,32
438,research,Cyanoloxia brissonii,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Cyanoloxia,Abundante,16
340,research,Cyanoloxia glaucocaerulea,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Cyanoloxia,Abundante,14
275,research,Cyclarhis gujanensis,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Cyclarhis,Abundante,16
127,research,Cygnus melancoryphus,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,Abundante,90
422,research,Dendrocolaptes platyrostris,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Dendrocolaptes,Rara,25
500,research,Dendrocygna autumnalis,Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,Comun,41
141,research,Dendrocygna bicolor,Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,Abundante,41
72,research,Dendrocygna viduata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,Abundante,42
367,research,Diomedea epomophora,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Diomedea,Rara,115
585,research,Dolichonyx oryzivorus,Animalia,Chordata,Aves,Passeriformes,Icteridae,Dolichonyx,Rara,16
256,research,Donacospiza albifrons,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Donacospiza,Abundante,14
146,research,Drymornis bridgesii,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Drymornis,Abundante,26
287,research,Dryobates mixtus,Animalia,Chordata,Aves,Piciformes,Picidae,Dryobates,Comun,16
209,research,Dryobates spilogaster,Animalia,Chordata,Aves,Piciformes,Picidae,Dryobates,Abundante,14
420,research,Egretta caerulea,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,Rara,40
18,research,Egretta thula,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,Abundante,39
359,research,Elaenia albiceps,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,Abundante,13
561,research,Elaenia flavogaster,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,Rara,14
560,research,Elaenia mesoleuca,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,Comun,14
33,research,Elaenia parvirostris,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,Abundante,13
240,research,Elaenia sordida,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,Rara ,16
455,research,Elaenia spectabilis,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,Comun,16
409,research,Elanoides forficatus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Elanoides,Rara,56
254,research,Elanus leucurus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Elanus,Abundante,40
562,research,Emberizoides herbicola,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Emberizoides,Rara,18
197,research,Emberizoides ypiranganus,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Emberizoides,Abundante,16
34,research,Embernagra platensis,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Embernagra,Abundante,20
300,research,Empidonomus aurantioatrocristatus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonomus,Abundante,17
366,research,Empidonomus varius,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonomus,Abundante,17
279,research,Eudyptes chrysolophus,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Rara,10
501,research,Eupetomena macroura,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Eupetomena,Rara,17
486,research,Euphonia chlorotica,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Euphonia,Rara,9
341,research,Euscarthmus meloryphus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Euscarthmus,Abundante,10
137,research,Falco femoralis,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Abundante,35
320,research,Falco peregrinus,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Abundante,39
184,research,Falco sparverius,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Abundante,26
431,research,Florisuga fusca,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Florisuga,Abundante,9
482,research,Fluvicola albiventer,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Fluvicola,Abundante,12
595,research,Fluvicola nengeta,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Fluvicola,Rara,15
374,research,Fregata magnificens,Animalia,Chordata,Aves,Suliformes,Fregatidae,Fregata,Rara,65
22,research,Fulica armillata,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,Abundante,35
395,research,Fulica leucoptera,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,Abundante,30
394,research,Fulica rufifrons,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,Abundante,32
63,research,Furnarius rufus,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Furnarius,Abundante,18
591,research,Gallinago magellanica,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Gallinago,NA,NA
172,research,Gallinago paraguaiae,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Gallinago,Abundante,25
110,research,Gallinula galeata,Animalia,Chordata,Aves,Gruiformes,Rallidae,Gallinula,Abundante,33
570,research,Gelochelidon nilotica,Animalia,Chordata,Aves,Charadriiformes,Laridae,Gelochelidon,Comun,34
155,research,Geositta cunicularia,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Geositta,Abundante,14
210,research,Geothlypis aequinoctialis,Animalia,Chordata,Aves,Passeriformes,Parulidae,Geothlypis,Abundante,13
460,research,Geotrygon montana,Animalia,Chordata,Aves,Columbiformes,Columbidae,Geotrygon,Rara,22
88,research,Geranoaetus albicaudatus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Geranoaetus,Abundante,53
222,research,Geranoaetus melanoleucus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Geranoaetus,Abundante,65
343,research,Geranospiza caerulescens,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Geranospiza,Abundante,46
364,research,Glaucidium brasilianum,Animalia,Chordata,Aves,Strigiformes,Strigidae,Glaucidium,Abundante,18
309,research,Gnorimopsar chopi,Animalia,Chordata,Aves,Passeriformes,Icteridae,Gnorimopsar,Abundante,22
488,research,Gubernatrix cristata,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Gubernatrix,Abundante,18
297,research,Gubernetes yetapa,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Gubernetes,Rara,40
53,research,Guira guira,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Guira,Abundante,36
305,research,Haematopus ater,Animalia,Chordata,Aves,Charadriiformes,Haematopodidae,Haematopus,Rara,36
3,research,Haematopus palliatus,Animalia,Chordata,Aves,Charadriiformes,Haematopodidae,Haematopus,Comun,35
576,research,Halobaena caerulea,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Halobaena,Rara,29
529,research,Heliobletus contaminatus,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Heliobletus,Rara,12
308,research,Heliomaster furcifer,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Heliomaster,Comun,10
602,research,Hemithraupis guira,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Hemithraupis,NA,NA
485,research,Hemithraupis ruficapilla,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Hemithraupis,Rara,13
456,research,Hemitriccus margaritaceiventer,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Hemitriccus,Comun,10
502,research,Heteronetta atricapilla,Animalia,Chordata,Aves,Anseriformes,Anatidae,Heteronetta,Abundante,36
30,research,Heteroxolmis dominicana,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Heteroxolmis,NA,NA
75,research,Himantopus mexicanus,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Himantopus,Abundante ,38
153,research,Hirundinea ferruginea,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Hirundinea,Abuntante,16
253,research,Hirundo rustica,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,Abundante,16
169,research,Hydropsalis torquata,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Hydropsalis,Abundante,40
131,research,Hylocharis chrysura,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Hylocharis,Abundante,8
59,research,Hymenops perspicillatus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Hymenops,Abundante,13
65,research,Icterus pyrrhopterus,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,Abundante,19
451,research,Ictinia mississippiensis,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Ictinia,Rara,37
174,research,Ixobrychus involucris,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ixobrychus,Rara,28
581,research,Jabiru mycteria,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Jabiru,Rara,110
74,research,Jacana jacana,Animalia,Chordata,Aves,Charadriiformes,Jacanidae,Jacana,Abundante,25
266,research,Knipolegus cyanirostris,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Knipolegus,Abundante,14
298,research,Knipolegus lophotes,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Knipolegus,Abuntante,19
2,research,Larus atlanticus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Rara,48
16,research,Larus dominicanus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,Abundante,55
492,research,Laterallus leucopyrrhus,Animalia,Chordata,Aves,Gruiformes,Rallidae,Laterallus,Abundante,17
427,research,Laterallus melanophaius,Animalia,Chordata,Aves,Gruiformes,Rallidae,Laterallus,Abundante,18
503,research,Lathrotriccus euleri,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Lathrotriccus,Abuntante,12
316,research,Leistes defilippii,Animalia,Chordata,Aves,Passeriformes,Icteridae,Leistes,Rara,19
71,research,Leistes superciliaris,Animalia,Chordata,Aves,Passeriformes,Icteridae,Leistes,Abundante,17
