"","user_id","primer_registro","ultimo_registro","registros","tiempo_activo","registros_x_tiempo","categoria_usuario","user_login"
"108",1294850,"2018-10-23 14:26:37 UTC","2021-12-12 23:41:56 UTC",7,1147.38563657407,0.00610082589224402,"principiante","surpopp"
"109",1302703,"2018-11-17 14:02:39 UTC","2018-11-17 14:02:39 UTC",1,1,1,"principiante","daniel797"
"110",1305694,"2018-11-03 12:54:06 UTC","2018-11-03 12:54:06 UTC",1,1,1,"principiante","renzovettorazzi"
"111",1309641,"2018-10-31 14:27:04 UTC","2018-10-31 14:27:04 UTC",1,1,1,"principiante","nicolascorrea1"
"112",1318865,"2018-11-07 16:10:45 UTC","2022-09-07 16:05:22 UTC",633,1400.99626157407,0.451821334118908,"intermedio","rafatosi"
"113",1320272,"2021-10-23 16:14:29 UTC","2021-10-29 16:03:58 UTC",4,6.99269675925926,0.572025377005441,"principiante","aguscarbet"
"114",1332329,"2018-11-05 22:26:55 UTC","2022-10-25 21:30:18 UTC",43,1450.96068287037,0.0296355376873032,"principiante","miguellatronico"
"115",1334429,"2019-01-05 00:44:40 UTC","2019-01-05 00:44:40 UTC",1,1,1,"principiante","johnrobinson1950"
"116",1335029,"2018-11-06 17:08:16 UTC","2018-11-06 17:08:16 UTC",1,1,1,"principiante","muishangaiipr"
"117",1344223,"2018-11-10 13:44:55 UTC","2018-11-10 16:14:58 UTC",4,1.10420138888889,3.6225275934719,"principiante","valentina154"
"118",1344745,"2018-11-10 19:32:17 UTC","2018-11-10 19:32:17 UTC",1,1,1,"principiante","pazzz"
"119",1347732,"2018-11-12 14:07:59 UTC","2018-11-12 14:11:04 UTC",2,1.0021412037037,1.99572674250736,"principiante","leo_1064"
"120",1348287,"2018-11-12 20:24:02 UTC","2019-01-24 23:02:05 UTC",2,74.1097569444444,0.026986999856163,"principiante","once11"
"121",1353166,"2018-11-16 00:02:15 UTC","2018-11-26 00:45:22 UTC",5,11.0299421296296,0.453311535204573,"principiante","martin271"
"122",1353454,"2018-11-20 03:35:03 UTC","2018-11-20 03:41:01 UTC",2,1.00414351851852,1.99174715876346,"principiante","carlos506"
"123",1353517,"2018-11-17 17:38:29 UTC","2022-10-28 09:30:14 UTC",151,1441.6609375,0.104740300629807,"principiante","smantaras"
"124",1355012,"2018-11-18 01:38:15 UTC","2019-01-21 01:05:37 UTC",58,64.977337962963,0.892618900962978,"principiante","evestin"
"125",1355572,"2019-08-23 14:05:15 UTC","2019-08-23 14:05:15 UTC",1,1,1,"principiante","angie147"
"126",1357197,"2019-12-14 20:29:36 UTC","2019-12-14 21:11:38 UTC",4,1.02918981481481,3.88655225928342,"principiante","hugo121"
"127",1357265,"2018-11-18 14:17:26 UTC","2018-11-18 14:17:26 UTC",1,1,1,"principiante","barbarapertini"
