,X,quality_grade,taxon_species_name,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,Distribution,Size (cm),IUCNglobal,IUCNregional,trendGlobal,n
205,460,research,Geotrygon montana,Animalia,Chordata,Aves,Columbiformes,Columbidae,Geotrygon,1,22,LC,NE,Decreasing,1
206,88,research,Geranoaetus albicaudatus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Geranoaetus,19,53,LC,LC,Unknown,39
207,222,research,Geranoaetus melanoleucus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Geranoaetus,19,65,LC,VU,Stable,35
208,343,research,Geranospiza caerulescens,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Geranospiza,19,46,LC,LC,Decreasing,9
209,364,research,Glaucidium brasilianum,Animalia,Chordata,Aves,Strigiformes,Strigidae,Glaucidium,19,18,LC,LC,Decreasing,15
210,309,research,Gnorimopsar chopi,Animalia,Chordata,Aves,Passeriformes,Icteridae,Gnorimopsar,15,22,LC,LC,Stable,13
211,488,research,Gubernatrix cristata,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Gubernatrix,15,18,EN,EN,Decreasing,4
212,297,research,Gubernetes yetapa,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Gubernetes,1,40,LC,NE,Stable,1
213,53,research,Guira guira,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Guira,19,36,LC,LC,Increasing,100
214,305,research,Haematopus ater,Animalia,Chordata,Aves,Charadriiformes,Haematopodidae,Haematopus,2,36,LC,NE,Unknown,3
215,3,research,Haematopus palliatus,Animalia,Chordata,Aves,Charadriiformes,Haematopodidae,Haematopus,8,35,LC,LC,Stable,111
216,576,research,Halobaena caerulea,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Halobaena,6,29,LC,NE,Decreasing,1
217,529,research,Heliobletus contaminatus,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Heliobletus,1,12,LC,NE,Decreasing,9
218,308,research,Heliomaster furcifer,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Heliomaster,10,10,LC,LC,Decreasing,17
219,602,research,Hemithraupis guira,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Hemithraupis,1,12,LC,NE,Decreasing,1
220,485,research,Hemithraupis ruficapilla,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Hemithraupis,1,13,LC,NE,Stable,2
221,456,research,Hemitriccus margaritaceiventer,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Hemitriccus,6,10,LC,NT,Stable,11
222,502,research,Heteronetta atricapilla,Animalia,Chordata,Aves,Anseriformes,Anatidae,Heteronetta,14,36,LC,DD,Stable,4
223,30,research,Heteroxolmis dominicana,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Heteroxolmis,17,19,VU,VU,Unknow,36
224,75,research,Himantopus mexicanus,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Himantopus,19,38,LC,LC,NA,69
225,153,research,Hirundinea ferruginea,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Hirundinea,11,16,LC,LC,Increasing,9
226,253,research,Hirundo rustica,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,19,16,LC,LC,Decreasing,13
227,169,research,Hydropsalis torquata,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Hydropsalis,19,40,LC,LC,Stable,41
228,131,research,Hylocharis chrysura,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Hylocharis,19,8,LC,LC,Increasing,74
229,59,research,Hymenops perspicillatus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Hymenops,19,13,LC,LC,Stable,48
230,65,research,Icterus pyrrhopterus,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,19,19,LC,LC,Stable,35
231,451,research,Ictinia mississippiensis,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Ictinia,2,37,LC,NE,Increasing,7
232,174,research,Ixobrychus involucris,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ixobrychus,13,28,LC,LC,Stable,5
233,581,research,Jabiru mycteria,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Jabiru,5,110,LC,NE,Unknown,2
234,74,research,Jacana jacana,Animalia,Chordata,Aves,Charadriiformes,Jacanidae,Jacana,19,25,LC,LC,Stable,54
235,266,research,Knipolegus cyanirostris,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Knipolegus,19,14,LC,LC,Decreasing,35
236,298,research,Knipolegus lophotes,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Knipolegus,13,19,LC,LC,Stable,21
237,2,research,Larus atlanticus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,6,48,NT,EN,Stable,47
238,16,research,Larus dominicanus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,16,55,LC,LC,Increasing,152
239,492,research,Laterallus leucopyrrhus,Animalia,Chordata,Aves,Gruiformes,Rallidae,Laterallus,19,17,LC,LC,Unknown,2
240,427,research,Laterallus melanophaius,Animalia,Chordata,Aves,Gruiformes,Rallidae,Laterallus,19,18,LC,LC,Unknown,14
241,503,research,Lathrotriccus euleri,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Lathrotriccus,19,12,LC,LC,Stable,7
242,316,research,Leistes defilippii,Animalia,Chordata,Aves,Passeriformes,Icteridae,Leistes,1,19,VU,EN,Decreasing,4
243,71,research,Leistes superciliaris,Animalia,Chordata,Aves,Passeriformes,Icteridae,Leistes,19,17,LC,LC,Stable,30
244,122,research,Lepidocolaptes angustirostris,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Lepidocolaptes,19,18,LC,LC,Increasing,43
245,423,research,Lepidocolaptes falcinellus,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Lepidocolaptes,1,17,LC,NT,Stable,9
246,361,research,Leptasthenura platensis,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Leptasthenura,19,16,LC,LC,Stable,9
247,519,research,Leptopogon amaurocephalus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Leptopogon,1,12,LC,NE,Decreasing,1
248,270,research,Leptotila rufaxilla,Animalia,Chordata,Aves,Columbiformes,Columbidae,Leptotila,11,25,LC,LC,Decreasing,4
249,258,research,Leptotila verreauxi,Animalia,Chordata,Aves,Columbiformes,Columbidae,Leptotila,19,26,LC,LC,Stable,21
250,262,research,Lessonia rufa,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Lessonia,19,11,LC,LC,Stable,18
251,549,research,Leucocarbo atriceps,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Leucocarbo,1,NE,LC,NE,Unknown,2
252,120,research,Leucochloris albicollis,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Leucochloris,19,8,LC,LC,Unknown,53
253,584,research,Leucophaeus pipixcan,Animalia,Chordata,Aves,Charadriiformes,Laridae,Leucophaeus,5,33,LC,NE,Unknow,1
254,211,research,Limnoctites rectirostris,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Limnoctites,13,15,NT,VU,Decreasing,15
255,276,research,Limnoctites sulphuriferus,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Limnoctites,18,15,LC,NT,Unknown,11
256,483,research,Limnornis curvirostris,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Limnornis,14,16,LC,VU,Stable,8
257,139,research,Limosa haemastica,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limosa,10,34,LC,LC,Decreasing,20
258,229,research,Lochmias nematura,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Lochmias,19,13,LC,LC,Decreasing,24
259,119,research,Machetornis rixosa,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Machetornis,19,17,LC,LC,Stable,67
260,349,research,Mackenziaena leachii,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Mackenziaena,1,25,LC,NE,Decreasing,19
261,238,research,Macronectes giganteus,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Macronectes,6,95,LC,LC,Increasing,27
262,428,research,Macronectes halli,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Macronectes,6,90,LC,LC,Increasing,7
263,405,research,Mareca sibilatrix,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mareca,16,43,LC,LC,Stable,8
264,125,research,Megaceryle torquata,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Megaceryle,19,36,LC,LC,Stable,23
265,542,research,Megarynchus pitangua,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Megarynchus,4,21,LC,NE,Stable,5
266,168,research,Megascops choliba,Animalia,Chordata,Aves,Strigiformes,Strigidae,Megascops,19,23,LC,LC,Decreasing,30
267,490,research,Megascops sanctaecatarinae,Animalia,Chordata,Aves,Strigiformes,Strigidae,Megascops,9,28,LC,NT,Decreasing,3
268,504,research,Melanerpes cactorum,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,6,16,LC,VU,Decreasing,9
269,208,research,Melanerpes candidus,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,19,24,LC,LC,Increasing,28
271,339,research,Microspingus cabanisi,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Microspingus,19,13,LC,LC,Decreasing,28
272,437,research,Microspingus melanoleucus,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Microspingus,19,12,LC,LC,Stable,12
273,594,research,Microspingus torquatus,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Microspingus,1,14,LC,NE,Stable,1
274,342,research,Milvago chimachima,Animalia,Chordata,Aves,Falconiformes,Falconidae,Milvago,19,37,LC,LC,Increasing,26
275,14,research,Milvago chimango,Animalia,Chordata,Aves,Falconiformes,Falconidae,Milvago,19,37,LC,LC,NA,84
276,17,research,Mimus saturninus,Animalia,Chordata,Aves,Passeriformes,Mimidae,Mimus,19,25,LC,LC,Stable,206
277,267,research,Mimus triurus,Animalia,Chordata,Aves,Passeriformes,Mimidae,Mimus,19,20,LC,LC,Unknown,20
278,115,research,Molothrus bonariensis,Animalia,Chordata,Aves,Passeriformes,Icteridae,Molothrus,19,19,LC,LC,Increasing,123
279,377,research,Molothrus rufoaxillaris,Animalia,Chordata,Aves,Passeriformes,Icteridae,Molothrus,19,18,LC,LC,Stable,18
280,375,research,Muscisaxicola albilora,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Muscisaxicola,1,17,LC,NE,Stable,1
281,398,research,Muscisaxicola maclovianus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Muscisaxicola,12,15,LC,LC,Decreasing,7
282,579,research,Mustelirallus albicollis,Animalia,Chordata,Aves,Gruiformes,Rallidae,Mustelirallus,1,21,LC,NE,Unknown,1
283,193,research,Mycteria americana,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Mycteria,19,65,LC,LC,Decreasing,40
284,543,research,Myiarchus ferox,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiarchus,1,18,LC,NE,Stable,6
285,123,research,Myiarchus swainsoni,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiarchus,19,18,LC,LC,Stable,16
286,511,research,Myiarchus tyrannulus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiarchus,1,18,LC,NE,Increasing,5
287,191,research,Myiodynastes maculatus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiodynastes,19,19,LC,LC,Stable,25
288,566,research,Myiopagis viridicata,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiopagis,3,12,LC,DD,Stable,3
289,257,research,Myiophobus fasciatus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiophobus,19,12,LC,LC,Increasing,31
290,9,research,Myiopsitta monachus,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Myiopsitta,19,27,LC,LC,Increasing,151
291,337,research,Myiothlypis leucoblephara,Animalia,Chordata,Aves,Passeriformes,Parulidae,Myiothlypis,19,12,LC,LC,Decreasing,13
292,15,research,Nannopterum brasilianum,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Nannopterum,19,63,LC,LC,Unknown,135
293,568,research,Nemosia pileata,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Nemosia,1,13,LC,NE,Stable,1
294,81,research,Nengetus cinereus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Nengetus,19,20,LC,LC,Unknown,63
295,479,research,Neoxolmis coronatus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Neoxolmis,13,20,LC,NE,Unknown,4
296,442,research,Neoxolmis rufiventris,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Neoxolmis,16,23,LC,VU,Unknown,5
297,421,research,Netta peposaca,Animalia,Chordata,Aves,Anseriformes,Anatidae,Netta,19,46,LC,LC,Increasing,8
298,402,research,Nomonyx dominicus,Animalia,Chordata,Aves,Anseriformes,Anatidae,Nomonyx,13,33,LC,DD,Stable,10
299,95,research,Nothura maculosa,Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Nothura,19,25,LC,LC,Decreasing,60
300,496,research,Numenius phaeopus,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,3,37,LC,NE,Decreasing,3
301,491,research,Nyctibius griseus,Animalia,Chordata,Aves,Caprimulgiformes,Nyctibiidae,Nyctibius,7,35,LC,LC,Decreasing,9
302,45,research,Nycticorax nycticorax,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Nycticorax,19,47,LC,LC,Decreasing,37
303,454,research,Nycticryphes semicollaris,Animalia,Chordata,Aves,Charadriiformes,Rostratulidae,Nycticryphes,19,19,LC,LC,Decreasing,4
304,592,research,Nyctidromus albicollis,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Nyctidromus,2,29,LC,DD,Stable,2
305,557,research,Oceanites oceanicus,Animalia,Chordata,Aves,Procellariiformes,Oceanitidae,Oceanites,6,17,LC,LC,Stable,1
306,333,research,Oreopholus ruficollis,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Oreopholus,19,27,LC,EN,Decreasing,8
307,443,research,Oxyura vittata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Oxyura,9,35,LC,LC,Stable,10
308,512,research,Pachyptila belcheri,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pachyptila,6,26,LC,LC,Stable,1
309,148,research,Pachyramphus polychopterus,Animalia,Chordata,Aves,Passeriformes,Tityridae,Pachyramphus,19,15,LC,LC,Stable,12
310,505,research,Pachyramphus validus,Animalia,Chordata,Aves,Passeriformes,Tityridae,Pachyramphus,2,17,LC,DD,Decreasing,9
311,198,research,Pachyramphus viridis,Animalia,Chordata,Aves,Passeriformes,Tityridae,Pachyramphus,16,14,LC,LC,Stable,24
312,329,research,Pandion haliaetus,Animalia,Chordata,Aves,Accipitriformes,Pandionidae,Pandion,13,58,LC,LC,Increasing,14
313,111,research,Parabuteo unicinctus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Parabuteo,19,50,LC,LC,Decreasing,72
314,545,research,Pardirallus maculatus,Animalia,Chordata,Aves,Gruiformes,Rallidae,Pardirallus,15,26,LC,LC,Stable,1
315,228,research,Pardirallus sanguinolentus,Animalia,Chordata,Aves,Gruiformes,Rallidae,Pardirallus,19,29,LC,LC,Stable,24
316,466,research,Paroaria capitata,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Paroaria,5,16,LC,NT,Stable,9
317,1,research,Paroaria coronata,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Paroaria,19,17,LC,LC,Stable,201
318,100,research,Passer domesticus,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,19,13,LC,NE,Decreasing,73
319,468,research,Patagioenas cayennensis,Animalia,Chordata,Aves,Columbiformes,Columbidae,Patagioenas,10,30,LC,DD,Decreasing,7
320,99,research,Patagioenas maculosa,Animalia,Chordata,Aves,Columbiformes,Columbidae,Patagioenas,19,33,LC,LC,Increasing,60
321,86,research,Patagioenas picazuro,Animalia,Chordata,Aves,Columbiformes,Columbidae,Patagioenas,19,35,LC,LC,Increasing,73
322,158,research,Penelope obscura,Animalia,Chordata,Aves,Galliformes,Cracidae,Penelope,19,69,LC,LC,Decreasing,65
323,389,research,Petrochelidon pyrrhonota,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Petrochelidon,19,14,LC,LC,Increasing,3
324,530,research,Phacellodomus ferrugineigula,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Phacellodomus,2,18,LC,NT,Stable,5
325,478,research,Phacellodomus ruber,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Phacellodomus,4,18,LC,DD,Decreasing,4
326,379,research,Phacellodomus sibilatrix,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Phacellodomus,15,12,LC,NT,Decreasing,3
327,264,research,Phacellodomus striaticollis,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Phacellodomus,19,16,LC,LC,Stable,33
328,472,research,Phaetusa simplex,Animalia,Chordata,Aves,Charadriiformes,Laridae,Phaetusa,15,38,LC,LC,Stable,11
329,445,research,Phalaropus tricolor,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Phalaropus,19,21,LC,LC,NA,7
330,83,research,Phimosus infuscatus,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Phimosus,19,40,LC,LC,Stable,66
331,226,research,Phleocryptes melanops,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Phleocryptes,19,13,LC,LC,Decreasing,22
332,223,research,Phoenicopterus chilensis,Animalia,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,7,75,NT,VU,Decreasing,30
333,574,research,Phyllomyias burmeisteri,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Phyllomyias,1,11,LC,NE,Decreasing,1
334,204,research,Phylloscartes ventralis,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Phylloscartes,19,10,LC,LC,Decreasing,22
335,446,research,Phytotoma rutila,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Phytotoma,16,17,LC,LC,Decreasing,13
336,196,research,Piaya cayana,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Piaya,19,44,LC,LC,Decreasing,25
337,538,research,Piculus aurulentus,Animalia,Chordata,Aves,Piciformes,Picidae,Piculus,1,21,NT,NE,Decreasing,3
338,357,research,Picumnus cirratus,Animalia,Chordata,Aves,Piciformes,Picidae,Picumnus,6,8,LC,DD,Decreasing,16
339,207,research,Picumnus nebulosus,Animalia,Chordata,Aves,Piciformes,Picidae,Picumnus,11,9,NT,LC,Decreasing,40
340,390,research,Pipraeidea melanonota,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Pipraeidea,19,14,LC,LC,Stable,21
341,248,research,Piranga flava,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Piranga,19,17,LC,LC,Unknown,39
342,90,research,Pitangus sulphuratus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Pitangus,19,22,LC,LC,Increasing,166
343,76,research,Platalea ajaja,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Platalea,19,55,LC,LC,Stable,57
344,73,research,Plegadis chihi,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Plegadis,19,40,LC,LC,Increasing,72
345,41,research,Pluvialis dominica,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,19,23,LC,LC,Decreasing,37
346,416,research,Pluvialis squatarola,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,7,25,LC,LC,Decreasing,3
347,551,research,Pluvianellus socialis,Animalia,Chordata,Aves,Charadriiformes,Pluvianellidae,Pluvianellus,1,18,NT,NE,Stable,2
348,164,research,Podiceps major,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,19,51,LC,LC,Stable,62
349,452,research,Podiceps occipitalis,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,1,26,LC,NE,Decreasing,4
350,230,research,Podilymbus podiceps,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podilymbus,19,29,LC,LC,Increasing,24
351,464,research,Poecilotriccus plumbeiceps,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Poecilotriccus,2,9,LC,NT,Stable,9
352,261,research,Polioptila dumicola,Animalia,Chordata,Aves,Passeriformes,Polioptilidae,Polioptila,19,11,LC,LC,Decreasing,58
353,315,research,Polystictus pectoralis,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Polystictus,19,9,NT,VU,Decreasing,9
354,199,research,Poospiza nigrorufa,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Poospiza,19,13,LC,LC,Stable,52
355,412,research,Porphyrio martinica,Animalia,Chordata,Aves,Gruiformes,Rallidae,Porphyrio,19,32,LC,LC,NA,9
356,13,research,Porphyriops melanops,Animalia,Chordata,Aves,Gruiformes,Rallidae,Porphyriops,19,20,LC,LC,Stable,25
357,571,research,Porzana spiloptera,Animalia,Chordata,Aves,Gruiformes,Rallidae,Porzana,9,15,VU,EN,NA,2
358,413,research,Procellaria aequinoctialis,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Procellaria,6,56,VU,VU,Decreasing,7
359,56,research,Progne chalybea,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Progne,19,18,LC,LC,Stable,56
360,475,research,Progne elegans,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Progne,9,18,LC,LC,Stable,3
361,49,research,Progne tapera,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Progne,19,16,LC,LC,Decreasing,74
362,277,research,Pseudocolopteryx flaviventris,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Pseudocolopteryx,19,10,LC,LC,Decreasing,10
363,513,research,Pseudocolopteryx sclateri,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Pseudocolopteryx,14,9,LC,NT,Stable,3
364,355,research,Pseudoleistes guirahuro,Animalia,Chordata,Aves,Passeriformes,Icteridae,Pseudoleistes,15,22,LC,LC,Stable,16
365,91,research,Pseudoleistes virescens,Animalia,Chordata,Aves,Passeriformes,Icteridae,Pseudoleistes,19,21,LC,LC,Stable,82
366,301,research,Pseudoseisura lophotes,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Pseudoseisura,19,23,LC,LC,Decreasing,11
367,387,research,Psittacara leucophthalmus,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittacara,13,33,LC,LC,Decreasing,8
368,323,research,Puffinus puffinus,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,6,34,LC,LC,Unknown,2
369,132,research,Pygochelidon cyanoleuca,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Pygochelidon,19,11,LC,LC,Decreasing,32
370,44,research,Pyrocephalus rubinus,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Pyrocephalus,19,13,LC,LC,Increasing,123
371,599,research,Pyroderus scutatus,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Pyroderus,1,41,LC,NE,Decreasing,1
372,365,research,Pyrrhura frontalis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pyrrhura,4,24,LC,LC,Stable,13
373,396,research,Ramphastos toco,Animalia,Chordata,Aves,Piciformes,Ramphastidae,Ramphastos,2,53,LC,NE,Decreasing,1
374,173,research,Rauenia bonariensis,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Rauenia,19,17,LC,LC,Unknown,101
375,28,research,Rhea americana,Animalia,Chordata,Aves,Rheiformes,Rheidae,Rhea,19,140,NT,LC,Decreasing,101
376,583,research,Rhopospina fruticeti,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Rhopospina,10,15,LC,NE,Stable,2
377,408,research,Rhynchotus rufescens,Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Rhynchotus,19,41,LC,LC,Decreasing,13
378,522,research,Riparia riparia,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Riparia,19,11,LC,NE,Decreasing,1
379,23,research,Rollandia rolland,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Rollandia,19,25,LC,LC,Decreasing,30
380,269,research,Rostrhamus sociabilis,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Rostrhamus,19,41,LC,LC,Stable,40
381,69,research,Rupornis magnirostris,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Rupornis,19,38,LC,LC,Increasing,102
382,85,research,Rynchops niger,Animalia,Chordata,Aves,Charadriiformes,Laridae,Rynchops,13,40,LC,LC,Decreasing,40
383,234,research,Saltator aurantiirostris,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Saltator,19,18,LC,LC,Unknown,47
384,477,research,Saltator coerulescens,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Saltator,4,20,LC,LC,Decreasing,4
385,350,research,Saltator similis,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Saltator,19,19,LC,LC,Decreasing,20
386,227,research,Satrapa icterophrys,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Satrapa,19,16,LC,LC,Stable,22
387,363,research,Schoeniophylax phryganophilus,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Schoeniophylax,19,18,LC,LC,Stable,12
388,526,research,Serpophaga griseicapilla,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Serpophaga,19,9,LC,NE,Stable,5
389,278,research,Serpophaga nigricans,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Serpophaga,19,11,LC,LC,Stable,49
390,265,research,Serpophaga subcristata,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Serpophaga,19,9,LC,LC,Stable,43
391,327,research,Setopagis parvula,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Setopagis,19,20,LC,LC,Stable,6
392,124,research,Setophaga pitiayumi,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,19,9,LC,LC,Decreasing,88
393,11,research,Sicalis flaveola,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Sicalis,19,12,LC,LC,Stable,191
394,202,research,Sicalis luteola,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Sicalis,19,12,LC,LC,Increasing,31
395,370,research,Sittasomus griseicapillus,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Sittasomus,1,14,LC,NT,Decreasing,9
396,497,research,Spartonoica maluroides,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Spartonoica,19,13,NT,VU,Decreasing,4
397,404,research,Spatula cyanoptera,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,9,37,LC,NT,Decreasing,4
398,336,research,Spatula platalea,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,19,43,LC,LC,Stable,8
399,185,research,Spatula versicolor,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,19,37,LC,LC,Stable,38
400,19,research,Spheniscus magellanicus,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,6,47,NT,NT,Decreasing,49
401,163,research,Spinus magellanicus,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,19,12,LC,LC,Stable,93
402,249,research,Sporophila caerulescens,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Sporophila,19,11,LC,LC,Increasing,37
403,303,research,Sporophila cinnamomea,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Sporophila,19,9,VU,VU,Decreasing,35
404,144,research,Sporophila collaris,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Sporophila,14,11,LC,VU,Stable,20
405,411,research,Sporophila hypochroma,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Sporophila,11,9,NT,VU,Decreasing,4
