,"id","observado","usuario","nivel","ranking","latitude","longitude","departamento","clase","familia","especie","distribucion","distribucion_2","largo_cm","tamaño","status_regional","status_global"
"12424",136202758,"2022-09-23","maria2622","principiante",137,"-34.7892795581","-55.5372012779","Canelones","Aves","Thraupidae","Stephanophorus diadematus",19,"Alta",18,"Pequeño","LC","LC"
"12425",136202820,"2022-09-23","maria2622","principiante",137,"-34.7892795581","-55.5372012779","Canelones","Aves","Rallidae","Aramides cajaneus",19,"Alta",36,"Mediano","LC","LC"
"12426",136213491,"2022-09-23","santiagomailhos","experimentado",1,"-32.5291704088","-58.0377236003","Río Negro","Aves","Mimidae","Mimus saturninus",19,"Alta",25,"Mediano","LC","LC"
"12427",136213742,"2022-09-23","santiagomailhos","experimentado",1,"-32.5288555087","-58.0378381549","Río Negro","Aves","Psittacidae","Myiopsitta monachus",19,"Alta",27,"Mediano","LC","LC"
"12428",136220199,"2022-09-22","andresferz","intermedio",53,"-34.9169966667","-54.8497666667","Maldonado","Aves","Haematopodidae","Haematopus palliatus",8,"Media",35,"Mediano","LC","LC"
"12429",136220347,"2022-09-22","andresferz","intermedio",53,"-34.9181866667","-54.8515783333","Maldonado","Aves","Phalacrocoracidae","Nannopterum brasilianum",19,"Alta",63,"Grande","LC","LC"
"12430",136222624,"2022-09-23","yamandolivera","intermedio",42,"-33.2236469722","-54.3667269722","Treinta y Tres","Amphibia","Hylidae","Scinax granulatus",19,"Alta",4,"Pequeño","LC","LC"
"12431",136305774,"2022-09-24","rpereirag","intermedio",26,"-33.969085","-54.031115","Rocha","Aves","Sturnidae","Sturnus vulgaris",19,"Alta",20,"Mediano","NE","LC"
"12432",136325793,"2022-09-24","gmmv80","experimentado",10,"-34.7302829195","-56.4028425577","San José","Aves","Furnariidae","Limnoctites sulphuriferus",18,"Alta",15,"Pequeño","NT","LC"
"12433",136349784,"2022-09-24","santiagomailhos","experimentado",1,"-32.4373759938","-58.0363265577","Río Negro","Aves","Furnariidae","Coryphistera alaudina",6,"Media",15,"Pequeño","NT","LC"
"12434",136350089,"2022-09-24","santiagomailhos","experimentado",1,"-32.5162088358","-58.0400443506","Río Negro","Aves","Thraupidae","Paroaria coronata",19,"Alta",17,"Pequeño","LC","LC"
"12435",136350461,"2022-09-24","santiagomailhos","experimentado",1,"-32.5155185561","-58.0376454008","Río Negro","Aves","Thraupidae","Sicalis flaveola",19,"Alta",12,"Pequeño","LC","LC"
"12436",136351900,"2022-09-24","paulabaqueanos","intermedio",36,"-34.6676461368","-55.3033844009","Maldonado","Aves","Anatidae","Anas georgica",19,"Alta",44,"Mediano","LC","LC"
"12437",136351944,"2022-09-24","santiagomailhos","experimentado",1,"-32.523027552","-58.0352137056","Río Negro","Aves","Anatidae","Anas flavirostris",19,"Alta",34,"Mediano","LC","LC"
"12438",136354234,"2022-09-24","santiagomailhos","experimentado",1,"-32.5267707445","-58.0350348211","Río Negro","Aves","Tyrannidae","Pitangus sulphuratus",19,"Alta",22,"Mediano","LC","LC"
"12439",136354390,"2022-09-24","santiagomailhos","experimentado",1,"-32.5251094046","-58.0337225079","Río Negro","Aves","Ardeidae","Ardea alba",19,"Alta",65,"Grande","LC","LC"
"12440",136354571,"2022-09-24","santiagomailhos","experimentado",1,"-32.527904303","-58.0337621361","Río Negro","Aves","Ardeidae","Egretta thula",19,"Alta",39,"Mediano","LC","LC"
"12441",136355354,"2022-09-24","santiagomailhos","experimentado",1,"-32.5283209692","-58.0329367217","Río Negro","Aves","Accipitridae","Rostrhamus sociabilis",19,"Alta",41,"Mediano","LC","LC"
"12442",136355508,"2022-09-24","santiagomailhos","experimentado",1,"-32.5275883355","-58.0355634739","Río Negro","Aves","Columbidae","Zenaida auriculata",19,"Alta",23,"Mediano","LC","LC"
